139.162.45.142,4399
168.138.177.109,443
15.235.162.54,2629
92.112.23.68,443
154.196.180.143,54190
15.235.162.54,2555
154.196.180.201,54190
103.248.229.204,443
139.162.47.164,4399
154.196.180.164,54190
34.126.116.100,443
213.130.156.115,2578
188.253.125.178,41842
96.9.210.239,443
5.223.41.187,8443
15.235.142.31,2883
178.239.123.17,443
4.193.108.171,312
139.162.33.198,443
154.196.180.198,54190
103.195.189.214,52602
5.223.49.4,8443
172.105.116.105,386
138.2.89.238,43254
154.196.180.183,54190
213.130.156.116,2578
15.235.199.76,2555
213.130.156.114,1262
217.142.191.81,4456
213.130.156.114,1616
213.35.116.114,43686
154.196.180.139,54190
213.130.156.112,2316
213.130.156.111,2212
213.130.156.134,2539
154.196.180.173,54190
140.245.63.87,443
213.130.156.112,1669
103.54.153.46,443
15.235.162.54,1669
140.245.57.180,8443
138.2.111.233,443
213.130.156.115,1262
213.130.156.133,1235
103.248.228.37,443
213.130.156.132,443
213.130.156.122,1715
158.178.237.165,7887
154.18.187.202,443
139.162.47.164,486
139.162.33.198,386
213.35.116.114,43695
5.223.48.56,4433
15.235.142.31,443
57.155.219.13,48090
213.35.116.114,43702
213.130.156.123,1622
45.87.92.230,52999
172.104.40.193,443
40.65.162.116,443
5.223.62.43,8084
35.247.174.230,443
172.96.190.194,443
139.162.35.243,4399
194.195.90.182,443
140.245.125.196,443
154.196.180.176,54190
139.162.52.165,4399
103.14.77.6,8880
140.245.39.79,47343
213.130.156.112,443
38.54.119.176,4164
139.162.51.126,386
15.235.167.74,443
140.245.37.38,4536
138.2.65.212,8880
213.130.156.116,2555
172.104.35.230,443
154.196.180.162,54190
103.14.77.68,8880
168.138.184.172,443
103.6.168.7,443
213.130.156.135,2316
4.145.115.61,443
139.162.35.243,386
213.130.156.134,2316
15.235.162.54,2593
154.196.180.243,54190
13.76.162.167,3002
213.130.156.117,1199
213.130.156.132,2578
146.70.29.31,443
172.105.120.188,443
38.54.17.198,443
138.2.84.92,44323
213.130.156.131,1883
64.49.14.41,2053
20.247.145.24,48090
213.130.156.125,2429
185.220.68.157,443
213.130.156.118,1968
213.130.156.118,443
185.115.207.139,41113
103.14.77.214,46464
138.2.81.243,443
154.196.180.142,54190
139.177.187.115,386
139.162.47.138,386
168.138.171.105,563
213.130.156.115,2366
51.79.158.58,2083
89.28.239.112,48567
5.180.78.163,443
213.130.156.131,443
213.35.121.162,49543
213.130.156.112,1616
139.162.57.161,386
147.93.158.142,443
146.70.29.29,443
172.86.82.13,443
185.220.68.11,443
46.3.98.58,8880
138.2.74.42,8880
154.196.180.248,54190
15.235.142.31,2539
154.196.180.134,54190
139.162.33.107,486
15.235.162.54,2539
154.196.180.163,54190
213.130.156.125,2259
168.138.185.140,443
139.162.33.142,4399
140.245.58.117,8880
213.35.113.150,7800
139.162.44.94,386
213.130.156.116,1262
194.36.178.36,8443
